ID	Trait	Population	Sample_size	Nsnp
eqtl-a-ENSG00000156795	ENSG00000156795	European	31684	18301
eqtl-a-ENSG00000108963	ENSG00000108963	European	31684	20146
eqtl-a-ENSG00000211945	ENSG00000211945	European	5502	16653
eqtl-a-ENSG00000140443	ENSG00000140443	European	31470	20114
eqtl-a-ENSG00000184260	ENSG00000184260	European	14263	13990
eqtl-a-ENSG00000239246	ENSG00000239246	European	5502	15191
eqtl-a-ENSG00000140986	ENSG00000140986	European	31684	20000
eqtl-a-ENSG00000264456	ENSG00000264456	European	5502	16227
eqtl-a-ENSG00000117676	ENSG00000117676	European	31684	16468
eqtl-a-ENSG00000133063	ENSG00000133063	European	26196	17167
eqtl-a-ENSG00000264608	ENSG00000264608	European	5502	14560
eqtl-a-ENSG00000261433	ENSG00000261433	European	3831	16501
eqtl-a-ENSG00000126391	ENSG00000126391	European	26410	16150
eqtl-a-ENSG00000145850	ENSG00000145850	European	31684	19098
eqtl-a-ENSG00000106785	ENSG00000106785	European	26609	18549
eqtl-a-ENSG00000170291	ENSG00000170291	European	25690	19084
eqtl-a-ENSG00000157111	ENSG00000157111	European	31684	17405
eqtl-a-ENSG00000143499	ENSG00000143499	European	14263	17995
eqtl-a-ENSG00000247095	ENSG00000247095	European	5502	16173
eqtl-a-ENSG00000119801	ENSG00000119801	European	31684	19354
eqtl-a-ENSG00000173409	ENSG00000173409	European	31684	19315
eqtl-a-ENSG00000165494	ENSG00000165494	European	31684	19311
eqtl-a-ENSG00000233030	ENSG00000233030	European	10577	13747
eqtl-a-ENSG00000182162	ENSG00000182162	European	5502	10097
eqtl-a-ENSG00000204618	ENSG00000204618	European	8680	27248
eqtl-a-ENSG00000141736	ENSG00000141736	European	31470	17128
eqtl-a-ENSG00000151612	ENSG00000151612	European	31684	16451
eqtl-a-ENSG00000106588	ENSG00000106588	European	31470	18946
eqtl-a-ENSG00000010704	ENSG00000010704	European	31684	19276
eqtl-a-ENSG00000128833	ENSG00000128833	European	31684	18885
eqtl-a-ENSG00000255838	ENSG00000255838	European	4169	19477
eqtl-a-ENSG00000183579	ENSG00000183579	European	26181	16888
eqtl-a-ENSG00000240322	ENSG00000240322	European	4022	14091
eqtl-a-ENSG00000196741	ENSG00000196741	European	5502	10097
eqtl-a-ENSG00000104879	ENSG00000104879	European	30859	18975
eqtl-a-ENSG00000151117	ENSG00000151117	European	31684	18835
eqtl-a-ENSG00000066855	ENSG00000066855	European	31684	17774
eqtl-a-ENSG00000112394	ENSG00000112394	European	31684	18005
eqtl-a-ENSG00000164082	ENSG00000164082	European	31684	15489
eqtl-a-ENSG00000175213	ENSG00000175213	European	31684	15676
eqtl-a-ENSG00000135541	ENSG00000135541	European	31684	17328
eqtl-a-ENSG00000077942	ENSG00000077942	European	29940	21254
eqtl-a-ENSG00000187325	ENSG00000187325	European	9188	10125
eqtl-a-ENSG00000267452	ENSG00000267452	European	5164	15732
eqtl-a-ENSG00000177410	ENSG00000177410	European	20202	18412
eqtl-a-ENSG00000102543	ENSG00000102543	European	31684	17777
eqtl-a-ENSG00000087263	ENSG00000087263	European	31684	19592
eqtl-a-ENSG00000245904	ENSG00000245904	European	10736	17416
eqtl-a-ENSG00000240857	ENSG00000240857	European	31470	19364
eqtl-a-ENSG00000162073	ENSG00000162073	European	31684	18175
eqtl-a-ENSG00000083457	ENSG00000083457	European	25860	20558
eqtl-a-ENSG00000185736	ENSG00000185736	European	31684	21583
eqtl-a-ENSG00000118640	ENSG00000118640	European	31470	18596
eqtl-a-ENSG00000135678	ENSG00000135678	European	31430	18709
eqtl-a-ENSG00000137168	ENSG00000137168	European	31470	18625
eqtl-a-ENSG00000139318	ENSG00000139318	European	31684	16067
eqtl-a-ENSG00000236337	ENSG00000236337	European	5164	10049
eqtl-a-ENSG00000225855	ENSG00000225855	European	25476	15603
eqtl-a-ENSG00000158457	ENSG00000158457	European	31684	18220
eqtl-a-ENSG00000123612	ENSG00000123612	European	26609	17371
eqtl-a-ENSG00000110218	ENSG00000110218	European	31684	19017
eqtl-a-ENSG00000177369	ENSG00000177369	European	21884	17073
eqtl-a-ENSG00000173156	ENSG00000173156	European	30645	17403
eqtl-a-ENSG00000182446	ENSG00000182446	European	31684	20669
eqtl-a-ENSG00000175166	ENSG00000175166	European	14263	17907
eqtl-a-ENSG00000188747	ENSG00000188747	European	31684	17221
eqtl-a-ENSG00000151718	ENSG00000151718	European	31470	20343
eqtl-a-ENSG00000183248	ENSG00000183248	European	23628	19736
eqtl-a-ENSG00000111181	ENSG00000111181	European	31684	15671
eqtl-a-ENSG00000266312	ENSG00000266312	European	9065	20130
eqtl-a-ENSG00000235688	ENSG00000235688	European	4530	18274
eqtl-a-ENSG00000254760	ENSG00000254760	European	17261	20052
eqtl-a-ENSG00000101407	ENSG00000101407	European	31684	17535
eqtl-a-ENSG00000235703	ENSG00000235703	European	8269	10110
eqtl-a-ENSG00000138131	ENSG00000138131	European	30836	18015
eqtl-a-ENSG00000100503	ENSG00000100503	European	31684	18757
eqtl-a-ENSG00000230091	ENSG00000230091	European	17261	20212
eqtl-a-ENSG00000247287	ENSG00000247287	European	5502	16459
eqtl-a-ENSG00000084676	ENSG00000084676	European	30935	16758
eqtl-a-ENSG00000235280	ENSG00000235280	European	22111	19407
eqtl-a-ENSG00000161180	ENSG00000161180	European	29218	18444
eqtl-a-ENSG00000125877	ENSG00000125877	European	31470	19740
eqtl-a-ENSG00000126522	ENSG00000126522	European	31684	17127
eqtl-a-ENSG00000139354	ENSG00000139354	European	30551	18463
eqtl-a-ENSG00000087074	ENSG00000087074	European	31684	19423
eqtl-a-ENSG00000118514	ENSG00000118514	European	30895	18005
eqtl-a-ENSG00000119321	ENSG00000119321	European	26181	18185
eqtl-a-ENSG00000138449	ENSG00000138449	European	31470	17807
eqtl-a-ENSG00000090263	ENSG00000090263	European	31684	17141
eqtl-a-ENSG00000254703	ENSG00000254703	European	5502	17272
eqtl-a-ENSG00000164530	ENSG00000164530	European	31684	18689
eqtl-a-ENSG00000144214	ENSG00000144214	European	14263	16146
eqtl-a-ENSG00000139405	ENSG00000139405	European	31684	18099
eqtl-a-ENSG00000206344	ENSG00000206344	European	11496	27736
eqtl-a-ENSG00000123384	ENSG00000123384	European	31684	16169
eqtl-a-ENSG00000228492	ENSG00000228492	European	4994	10061
eqtl-a-ENSG00000261744	ENSG00000261744	European	4169	20219
eqtl-a-ENSG00000168216	ENSG00000168216	European	9188	18288
eqtl-a-ENSG00000087299	ENSG00000087299	European	31644	18158
eqtl-a-ENSG00000228058	ENSG00000228058	European	5502	18104
eqtl-a-ENSG00000154914	ENSG00000154914	European	26395	19511
eqtl-a-ENSG00000270018	ENSG00000270018	European	5502	14673
eqtl-a-ENSG00000177192	ENSG00000177192	European	31684	21222
eqtl-a-ENSG00000099985	ENSG00000099985	European	31684	17992
eqtl-a-ENSG00000149182	ENSG00000149182	European	31684	15753
eqtl-a-ENSG00000131089	ENSG00000131089	European	9188	10125
eqtl-a-ENSG00000162062	ENSG00000162062	European	25860	18999
eqtl-a-ENSG00000176261	ENSG00000176261	European	31644	16058
eqtl-a-ENSG00000101193	ENSG00000101193	European	8269	19471
eqtl-a-ENSG00000132196	ENSG00000132196	European	6421	18064
eqtl-a-ENSG00000100116	ENSG00000100116	European	31684	18358
eqtl-a-ENSG00000143228	ENSG00000143228	European	31684	19288
eqtl-a-ENSG00000269404	ENSG00000269404	European	26395	18901
eqtl-a-ENSG00000263069	ENSG00000263069	European	4994	18924
eqtl-a-ENSG00000265399	ENSG00000265399	European	5502	18919
eqtl-a-ENSG00000145725	ENSG00000145725	European	14263	17620
eqtl-a-ENSG00000077157	ENSG00000077157	European	31470	17466
eqtl-a-ENSG00000154262	ENSG00000154262	European	31684	17752
