ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOBP_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	GOBP_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	36	-0.544386903970121	-1.93579092888177	0.000470983559434592	0.00709430613896199	0.00537419566092909	1466	tags=39%, list=9%, signal=35%	SCAMP5/HYAL3/STX1A/SYT2/SYT3/TRPV6/DOC2A/CDK5/KCNB1/STXBP1/SYT13/RPH3A/SYT4/SYT1
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	99	0.432378403194364	1.70433224401976	0.000471259327039571	0.00709430613896199	0.00537419566092909	2983	tags=34%, list=18%, signal=28%	ACSF2/ACSBG1/AKR1C3/PTGDS/ELOVL1/EPHX1/CYP2J2/ELOVL2/ACSL5/CPT1A/PLP1/MGLL/LTC4S/FADS1/SLC27A5/PLA2G4C/SLC27A6/SLC27A1/CYP2C9/ALOX15/ELOVL5/GSTP1/PNPLA8/SLC27A3/GPX1/GSTM2/ACSL4/CYP1A1/AWAT1/CYP4F11/ACOT1/ACAA1/CYP2C18/SCP2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	25	0.632463964413983	1.93227050113667	0.000473872921064608	0.00711765627401751	0.00539188423991615	2503	tags=56%, list=15%, signal=48%	HLA-DPB1/B2M/HLA-DQB1/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DRB4/IFI30/CTSF/HLA-DMB/HLA-DQA1/DNM2/UNC93B1/CTSD
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	14	-0.739876688154016	-2.01917511271447	0.000475307740031131	0.00712323613080212	0.00539611118495251	2497	tags=86%, list=15%, signal=73%	SCN11A/SCN8A/SCN10A/SCN1B/SCN2B/SCN4A/SCN9A/SCN3A/SCN4B/SCN1A/SCN3B/SCN2A
GOBP_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GOBP_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	30	0.611590902882632	1.93668150212808	0.000479543195333757	0.00715082740616415	0.00541701258241487	3038	tags=57%, list=19%, signal=46%	P2RY14/ADORA2B/GNAI2/P2RX7/P2RY1/ANO6/P2RY13/P2RX3/P2RX2/ADORA2A/P2RY2/PTAFR/P2RY6/ADA/P2RY8/P2RY12/P2RX4
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	54	0.514454746772095	1.83773058185914	0.000480351146853839	0.00715082740616415	0.00541701258241487	3714	tags=50%, list=23%, signal=39%	SASH1/LYN/SIGIRR/NFKBIA/TRIB1/CARD8/LILRA2/TRIM5/CARD16/LTF/TLR4/SCARB1/DEFB118/PTAFR/CD55/AKT1/MAPK3/TICAM1/LY86/IRF3/CD180/TNFAIP3/BMP6/IRAK2/CD6/MYD88/MALT1
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION	206	0.355397234221348	1.56154796417516	0.000479287450102138	0.00715082740616415	0.00541701258241487	3145	tags=30%, list=19%, signal=24%	RARRES2/CD9/DUSP1/LYN/CD81/MSN/VEGFB/CD99/ANXA1/JAM2/IL1R1/SWAP70/LYVE1/APOD/IL33/PYCARD/MMP28/PGF/TNFAIP6/ICAM1/STAP1/ABL1/RHOA/EMILIN1/LGALS9/DOCK8/PADI2/TREM2/ANO6/EDN1/IL6R/C5/MTUS1/STK10/CCL2/AKIRIN1/TNFRSF14/CMKLR1/ASCL2/RIPK3/BST1/BCR/CYP19A1/VEGFA/HMOX1/IL4/MOSPD2/PTAFR/CXCR2/AKT1/MAPK3/CALR/ADA/GPSM3/RAC2/CRK/P2RY12/P2RX4/JAM3/THBS4/CXCL10
GOBP_DENDRITE_DEVELOPMENT	GOBP_DENDRITE_DEVELOPMENT	217	-0.318287063773809	-1.55323216738472	0.000483611168914562	0.00718339516753581	0.00544168384954394	3052	tags=29%, list=19%, signal=24%	PACSIN1/CHRNB2/NLGN1/DAB1/SRCIN1/CAMK2A/DCDC2/CAMK1D/NRP1/VLDLR/SIPA1L1/CDC42/NEDD4L/MAPKAPK5/FEZF2/RAP2A/MEF2C/FSTL4/GSK3B/PPP3CA/DCC/PHACTR1/SLC25A46/PRICKLE1/APP/CELSR2/SEMA3A/CAMK2B/LRRK2/MEF2A/KIAA0319/RERE/SS18L1/RAPGEF2/PPFIA2/BCL11A/ARHGAP44/CAPRIN2/MAP2/PTPRD/TRPC5/CSMD3/HECW1/WASL/STRN/ELAVL4/YWHAH/SEZ6/BTBD3/CDK5/TIAM1/MCF2/HECW2/ACTL6B/PAK3/FAT3/SLITRK5/MAP1B/SULT4A1/CDK5R1/TANC2/EPHA4/DCLK1/SLC12A5
GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	GOMF_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	17	0.697886448214472	1.95620892474632	0.000495640935106445	0.00734579341654441	0.00556470644654907	777	tags=29%, list=5%, signal=28%	ALDH1L1/ALDH4A1/ALDH9A1/ALDH7A1/ALDH2
GOBP_REGULATED_EXOCYTOSIS	GOBP_REGULATED_EXOCYTOSIS	209	-0.31855371562385	-1.55728786140421	0.000502275828219509	0.00742769486366996	0.00562674978005404	1921	tags=26%, list=12%, signal=23%	TSPAN18/STX3/SNX4/BRAF/STXBP5/GRP/IL13RA2/CEACAM1/RIMS2/KIT/SCAMP5/LRRK2/HYAL3/STX1A/CADPS2/PFN2/SYNJ1/RAB15/CRHBP/PPFIA2/SYT2/PRKCB/PDPK1/SYT3/SNCA/SLC4A8/TRPV6/STEAP2/DOC2A/SV2C/SYP/CDK5/SYNGR3/VAMP2/CACNB4/CHGA/PPP3CB/CCL3/KCNB1/ERC2/CADPS/SV2A/PREPL/STXBP1/SNAP25/RIMS1/SYT13/CPLX1/RASGRP1/RPH3A/SYT4/SV2B/PCLO/SYT1
