id	logFC	AveExpr	t	P.Value	adj.P.Val	B
TUBB	-1.07905433338559	9.02139874090583	-10.8871932873649	1.51584956786777e-22	2.48462902669205e-18	40.3970624788002
ATP8B1	1.20610688862926	7.7171854211435	10.2845348672632	1.15188841505961e-20	5.94723263071925e-17	36.1923836139772
ERBB2IP	1.21130830292276	9.78525866344395	10.2613175401111	1.35874279413547e-20	5.94723263071925e-17	36.0320353414676
SLC35E1	1.31055521350056	10.6523442359821	10.2520443470978	1.45134101170624e-20	5.94723263071925e-17	35.9680271383864
PSMB3	-0.894559924579905	9.54493958017937	-10.1459084172511	3.08187922175177e-20	1.01030164647466e-16	35.2369176864365
SREK1IP1	1.10639441236575	8.23200835376682	9.9318688222427	1.39485742398312e-19	3.81051800608454e-16	33.7711588681075
PMP2	1.43767955958231	8.88762900643498	9.90641223651673	1.66788116245717e-19	3.90546287626221e-16	33.5976251278456
KIF5B	1.08320262106563	10.0540445235471	9.66644096313464	8.91606613358703e-19	1.82679049994531e-15	31.9704702810724
NOTCH2	1.12057825830012	9.7633283142287	9.62650078238521	1.17665533117201e-18	2.14295083702671e-15	31.7012210209219
ATRX	1.18256532830574	9.62185596916144	9.60930729269283	1.32571297701269e-18	2.17297614062151e-15	31.5854560940038
SNRNP48	1.12529524581341	7.4962472386009	9.49022271957354	3.02119604340348e-18	4.50185675885695e-15	30.7860314994018
FGD4	0.835831931728588	8.77981464665022	9.47146568616126	3.43839664111676e-18	4.60896017894351e-15	30.6604984591224
ATP6V1G2	-1.20186427492001	9.120838736713	-9.46258380125081	3.65545008396472e-18	4.60896017894351e-15	30.6010926747489
CPEB4	1.16901034763555	8.91659129419731	9.36021982222438	7.38874304861516e-18	8.65063480784651e-15	29.918174837749
USP47	0.770047335890821	9.48791994624664	9.25358992945352	1.53256419076604e-17	1.67468397672307e-14	29.2102590253296
IDH3G	-1.00090921176714	8.70292368936771	-9.22654798271434	1.84298585474389e-17	1.88802382156919e-14	29.0313006858709
GFAP	1.50231509342283	10.6714184424439	9.13758781423575	3.37527021364724e-17	3.25435612187599e-14	28.444247281098
ATP5B	-0.917400092747139	11.0789097699776	-9.06669212982122	5.45655859804074e-17	4.96880288780476e-14	27.9782631479123
ZNF562	0.694889197975653	8.20433645143049	9.00873759870741	8.07056444544765e-17	6.96234851712276e-14	27.5985873813514
NOTCH2NL	1.24175874928496	9.75956077065919	8.90655293882472	1.60472637124258e-16	1.31515349755186e-13	26.9319370112658
PLGLB1	1.24545483494291	7.39105812009865	8.89185494947591	1.77095039644383e-16	1.38226894991004e-13	26.8363446797732
ANKRD36	1.43230222777972	9.36693955302242	8.88431939315584	1.86268604159556e-16	1.38778576853604e-13	26.7873644205256
ZBTB20	1.1990061865175	9.40348042085202	8.80663042729314	3.13152162602681e-16	2.23168569444372e-13	26.283560681314
PCYOX1L	-0.94028850185599	8.21941084243049	-8.78571042380635	3.60038742477409e-16	2.45891459497801e-13	26.1482632475785
SLC35B1	-0.868788185155466	7.9221921966009	-8.7180490329546	5.64751286726482e-16	3.70273533629351e-13	25.7117503950382
IRF2BP2	0.965436245587803	9.75052929621076	8.70147782850797	6.30419249027036e-16	3.97430842723159e-13	25.6050956723716
HIF3A	1.46851553870101	7.41645413491031	8.67222171230799	7.65355907561689e-16	4.64627728920135e-13	25.417044442185
HIP1R	1.00521282623771	7.95540823318386	8.64650758630511	9.07373342255244e-16	5.31169873318061e-13	25.2520205098587
CWC27	0.773565338091279	9.0019033530852	8.63766901740264	9.6198964401762e-16	5.34304901284314e-13	25.1953542890055
XRCC2	0.961155351940664	7.6758771436009	8.63518404675353	9.77923679978611e-16	5.34304901284314e-13	25.1794277577238
ANP32B	1.17226366865925	10.1659151091345	8.5422559960927	1.80462757025054e-15	9.54182274321828e-13	24.5854973598908
ACTR1A	-1.0288225458942	7.94973617401345	-8.50395584742232	2.32081146565727e-15	1.18876314792463e-12	24.3416599180227
SECISBP2L	0.907730521033699	9.48505860565022	8.49075947603096	2.53061697325541e-15	1.25694978207968e-12	24.2577752590045
COX5B	-0.612542931880514	10.2569158155067	-8.43457190253631	3.65541002610187e-15	1.76223016875987e-12	23.9013620047109
AFF1	0.923660650139976	9.11302623217937	8.42163748568227	3.97764517646037e-15	1.86278805963891e-12	23.819488800862
SST	-1.87981323130398	6.76329164916143	-8.4145045809092	4.16722745056053e-15	1.89736180950382e-12	23.7743663423937
TOB1	0.949711031959685	9.51788826903139	8.36141354616243	5.88956658610089e-15	2.6090779976427e-12	23.4391416904602
