ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE	41	-0.5240641018094	-1.94407852357506	0.000243009019583212	0.00736614218184587	0.00597828809786754	4622	tags=56%, list=28%, signal=40%	CAPN3/MYL2/MYOM2/CSRP3/SMTN/KRT19/CSRP1/TTN/NEXN/ANKRD2/MYL3/DAG1/MYH8/PLEC/MYBPH/MYL1/OBSCN/TPM2/MYBPC1/ASPH/MYOT/TCAP/MYL9
GOCC_COATED_VESICLE	GOCC_COATED_VESICLE	290	0.312117032615779	1.57624762452121	0.000246157897892427	0.00742798089180795	0.00602847578290367	4332	tags=37%, list=26%, signal=28%	ATP6V1A/YIPF5/SLC30A5/GOLGA2/CLVS1/NCALD/SEC23A/CLVS2/ATP6V1E1/AP1S1/KDELR3/NECAP1/ATP6AP1/SYT1/ATP6V1G2/F5/GAD1/VAMP7/GPR107/ATP6V1B2/USE1/SGIP1/PDCD6/WNT5A/SORT1/ATP6V0C/SH3GL2/SLC32A1/M6PR/STEAP2/ERGIC2/TMED6/USO1/MALL/ATP6V1F/OCRL/TMED4/VTI1B/ASTN2/EPN3/SYT11/DDHD2/ATP6V0B/VAMP8/RAB27A/CLTA/AP2S1/STON1/SCAMP1/STX6/CLTB/ATP6V1D/BTBD8/SEC13/PICALM/ARCN1/SNAP91/SLC2A8/COPE/YIPF6/CLINT1/HLA-G/YIF1B/ATP6V0A1/AP1S2/AP1G1/HAX1/SEC24B/GRIA1/AP1M1/LDLR/VMA21/INPP5F/GOPC/RAB14/PEF1/COPG2/AFTPH/ASTN1/LMBRD1/ATP6V1H/SEC22B/CFTR/FCHO2/IER3IP1/HBEGF/CD9/RAB35/VPS41/AP2B1/MYCBPAP/RAB5A/RASSF9/SNX3/SERPINA1/SEC31B/ERGIC1/AVPR2/COPB2/CHRM2/ATP6V1C1/CD207/SFTA3/ATP7A/RAB27B/AP2M1/HSPA8
GOBP_REGULATION_OF_NCRNA_TRANSCRIPTION	GOBP_REGULATION_OF_NCRNA_TRANSCRIPTION	87	-0.407278226581839	-1.79211583122739	0.000248690734652485	0.00747075888536771	0.00606319397913659	2986	tags=36%, list=18%, signal=29%	FOS/ZNF512B/TWIST1/EGFR/PIH1D1/JUN/FOSL1/TGFB1/GATA2/APLN/SPI1/MYOD1/CC2D1A/SREBF1/SMAD6/DEDD/WT1/STAT3/BMP4/ESR1/REST/TGFB2/NFATC4/PPARD/TEAD1/LILRB4/ETS1/PPARA/SOX9/POU5F1/MYOCD
GOBP_CELL_SUBSTRATE_ADHESION	GOBP_CELL_SUBSTRATE_ADHESION	322	-0.282184010537611	-1.49735486942207	0.000250035525812027	0.00747762494381594	0.00606876640422519	2954	tags=25%, list=18%, signal=21%	DISC1/COL8A1/EGFLAM/MKLN1/ITGA11/THBS1/BCR/FGG/FLNA/ITGA8/MACF1/ITGA6/ITGB1/CCL28/ITGB5/MAP4K4/CCR7/ALOX15/PPFIA1/JUP/PPM1F/TTYH1/DAG1/NOTCH1/BCAM/RAC2/ITGA2B/COL1A1/WNT1/AXL/MERTK/ILK/LAMA5/DDR1/FGB/ROCK1/WHAMM/VWF/SMAD6/ATP1B2/KANK1/TBCD/MINK1/APOD/BCL6/VEGFA/PARVG/WNT4/MICALL2/SRC/PDPN/ANTXR1/PHLDB2/ITGB6/ITGB2/CDKN2A/RHOD/FGA/ITGA7/EMP2/CASS4/BRAF/ITGB7/PPARD/FREM1/COL5A3/UNC13D/VCAM1/ITGA9/COL17A1/APOA1/BVES/CSF1/ITGBL1/FOXF1/EPB41L5/RREB1/ITGAX/MSLN/PKP2/SDC4/KDR
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	230	0.326484426431015	1.59161300766612	0.000251969857908367	0.00750198256945845	0.00608853481214838	4364	tags=37%, list=27%, signal=28%	ATP6V1A/DGUOK/NME1/CMPK1/DCTD/NUDT2/DLAT/SNCA/DLD/NDUFA8/PDHB/NDUFB6/PRPS1L1/PANK3/ATP6V0C/NDUFS3/ACACA/PRPS1/ACAT1/NDUFS5/TMSB4X/SLC27A2/PRPSAP2/NPPA/GUCA1B/NDUFV2/ACOT7/ADCY1/NDUFAB1/NDUFA12/UMPS/PAPSS1/SHMT1/NDUFA11/AK5/NDUFA5/NDUFA9/NME7/NDUFS2/RRM1/CDA/SDHB/PPARGC1A/ACLY/AMPD3/AFMID/UPP2/PID1/GUCA1A/GMPS/ADCY6/STOML2/NDUFA2/NDUFB5/NDUFA1/PPCS/NDUFB8/PDHX/PPT1/UPRT/RRM2B/ADK/NDUFB3/VCP/NDUFB2/NDUFC2/TBPL1/IMPDH2/LIPA/CAD/PDK3/NUDT12/TYMS/ELOVL4/RFK/DCK/ADCY7/ACSL6/NDUFV1/ALDOA/SPHK2/UPP1/NDUFC1/NDUFB1/NMNAT1
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE	GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE	65	0.463997726799016	1.84805765404762	0.000257188800388816	0.00762348572479945	0.00618714557060192	3441	tags=38%, list=21%, signal=31%	DKC1/PKIB/CCT5/NEK2/CCT2/ATR/CCT7/RAD50/RUVBL1/PRKCQ/CCT6A/TINF2/CCT4/PARN/AURKB/TERF2/NBN/CTNNB1/CCT8/SLX4/INO80B/GNL3/ATRX/TFPT/MAPKAPK5
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	269	0.312588393406042	1.55584450318713	0.00026435997546558	0.0078015307297089	0.00633164513461499	5180	tags=43%, list=32%, signal=30%	DGUOK/INSR/UQCRC2/MSH2/RHOA/MDH1/COQ10B/DLAT/SIRT3/UQCRFS1/IGF1/SUCLA2/CYC1/UQCRH/SNCA/DLD/NDUFA8/PDHB/GABARAPL1/UQCR10/NDUFB6/OXA1L/NDUFS3/CCNB1/NDUFS5/NDUFAF1/SUCLG1/PHKB/NDUFV2/NDUFA4/NDUFAB1/UQCRQ/NDUFA12/PASK/NDUFA11/NDUFA5/COX7C/COX6C/INPP5K/NDUFA9/COX5A/UGP2/NDUFS2/SDHB/PPARGC1A/STBD1/PHLDA2/IMMP2L/SDHAF2/ACLY/CDK1/COX4I1/CYCS/CISD1/CHCHD2/UQCRB/PID1/STOML2/PYGL/MRAP2/NDUFA2/GFPT1/NDUFB5/DYRK2/NDUFA1/IDH3A/NDUFB8/IDH3G/NDUFB3/PPP1CA/VCP/NDUFB2/PTGES3/NDUFC2/IFNAR1/UQCRC1/AGL/GBE1/PPP1R2/COX6A1/PPP1R3E/MDH2/COX7B/LEPR/ME3/PRELID1/NDUFV1/ATP7A/NDUFC1/NDUFB1/GSK3B/UCN/GHITM/SLC25A13/COX7A1/PARK7/COX15/NDUFA6/NDUFS4/PFKM/PANK2/PRKAG3/MTFR1/OGDHL/NDUFV3/ACTN3/MTOR/COX7A2/PGM2/PDHA2/NR1D1/STK40/DNAJC15/PIK3CA/LYRM7/NDUFB4
GOBP_MAMMARY_GLAND_MORPHOGENESIS	GOBP_MAMMARY_GLAND_MORPHOGENESIS	42	-0.520702979682723	-1.94154575263722	0.000270023754420282	0.00793372425816433	0.00643893209409398	2236	tags=40%, list=14%, signal=35%	TGFBR2/GLI3/TBX2/DDR1/BTRC/BMP4/SCRIB/ESR1/WNT4/SRC/FGF10/TBX3/CAV3/EPHA2/LRP5/CSF1/MED1
GOBP_RESPONSE_TO_PROGESTERONE	GOBP_RESPONSE_TO_PROGESTERONE	39	-0.535905344490438	-1.98207256749727	0.000273785997305521	0.00797745709733858	0.00647442523357827	3165	tags=59%, list=19%, signal=48%	RELA/CLDN4/OXTR/IGF1R/DSG1/GABRB1/FOS/THBS1/FOSL1/TGFB1/TXNIP/SREBF1/TGFB3/CSN1S1/TLR2/GJB2/SRC/YAP1/NKX2-2/TGFB2/CYP1B1/TACR1/PTGER2
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	155	0.359095767614541	1.66113342987049	0.0002762755704706	0.00797745709733858	0.00647442523357827	3358	tags=34%, list=20%, signal=27%	MAD2L1/NEK2/DSN1/PLK2/CKAP5/AURKA/NUDCD2/BUB1B/ORC2/DCTN1/CCNB1/SUMO3/MEAF6/DYNLL1/GTF2B/CENPW/ZWILCH/NDC80/CENPE/MIS12/DCTN6/ZW10/REC8/FBXO28/KIF22/SEH1L/DYNLT3/CENPF/SEC13/RANGAP1/CBX3/ZWINT/DCTN5/SMARCB1/CFDP1/CDC20/AURKB/BIRC5/PPP1R12A/SS18L1/TTK/APC/CENPQ/SPC24/NCAPD2/BUB3/BOD1/ATRX/PAFAH1B1/DCTN3/CHMP5/CHMP6
